"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"38","Theo Johnson (NYG)","29","43","331","11.4","35","4","1","0","0","0","0","12","39.1","3.3","1.8%"
"39","Dawson Knox (BUF)","22","33","311","14.1","39","7","1","0","0","0","0","16","37.1","2.3","0.8%"
"40","Grant Calcaterra (PHI)","24","30","298","12.4","34","6","1","0","0","0","0","17","35.8","2.1","0.1%"
"41","Colby Parkinson (LAR)","30","49","294","9.8","23","2","1","0","0","0","0","17","35.4","2.1","0.1%"
"42","Tommy Tremble (CAR)","23","32","234","10.2","38","2","2","0","0","0","1","12","33.4","2.8","0.1%"
"43","Josh Whyle (TEN)","28","37","248","8.9","33","3","1","0","0","0","0","17","32.8","1.9","0.0%"
"44","Nick Vannett (MIN)","17","20","135","7.9","24","1","3","0","0","0","0","13","31.5","2.4","0.0%"
"45","Adam Trautman (DEN)","13","22","188","14.5","37","2","2","0","0","0","0","17","30.8","1.8","0.1%"
"46","Luke Schoonmaker (DAL)","27","36","241","8.9","24","3","1","0","0","0","0","17","30.1","1.8","0.2%"
"47","Nate Adkins (DEN)","14","15","115","8.2","16","0","3","0","0","0","0","17","29.5","1.7","0.0%"
"48","Elijah Higgins (ARI)","20","24","172","8.6","23","1","2","0","0","0","0","17","29.2","1.7","0.1%"
"49","Johnny Mundt (JAC)","19","27","142","7.5","20","1","2","0","0","0","0","15","26.2","1.7","0.1%"
"50","Darnell Washington (PIT)","19","25","200","10.5","29","3","1","0","0","0","0","17","26.0","1.5","0.3%"
"51","Payne Durham (TB)","11","14","115","10.5","31","2","2","0","0","0","0","16","23.5","1.5","0.1%"
"52","Brock Wright (DET)","13","16","100","7.7","16","0","2","0","0","0","0","17","22.0","1.3","0.1%"
